code;name;baseidd;region;idd;time_start;time_end;opening_date;zone;s_stat;phone;phoneext;email;addr
269;м-н Москва ТЦ Охотный Ряд;0000925;Центральный регион;00005550003194915;10:00;22:00;2009-11-26 00:00:00.000;UTC +03:00;Закрыт;8(495)7378362;1376;rozn925@gloria-jeans.ru;г. Москва, Манежная площадь 1/2
270;м-н Москва Лескова;0000926;Центральный регион;00005550003194916;09:00;21:00;2009-10-25 00:00:00.000;UTC +03:00;Закрыт;+7-499-682-73-21;1362;rozn926@gloria-jeans.ru;г. Москва, ул. Лескова 3Г
271;м-н Энгельс ТЦ Аврора;0000927;Поволжье;00005550003194917;10:00;21:00;2009-10-10 00:00:00.000;UTC +03:00;Закрыт;8(8453)95-21-21;1440;rozn927@gloria-jeans.ru;г. Энгельс, ул. Тельмана 137
272;м-н Тюмень Республики Первомайская;0000928;Урал;00005550003194918;10:00;20:00;2009-12-05 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1297;rozn928@gloria-jeans.ru;г. Тюмень, ул. Республики 42/3
273;м-н Великий Новгород ТД Русь;0000929;Северо-Западный регион;00005550003194919;10:00;21:00;2009-10-27 00:00:00.000;UTC +03:00;Подготовка к закрытию;+7-8162-94-89-58;1046;rozn929@gloria-jeans.ru;г. Великий Новгород, ул. Большая Санкт-Петербургская 25
274;м-н Иркутск ТЦ Джам Молл;0000930;Сибирь;00005550003194920;10:00;22:00;2010-04-30 00:00:00.000;UTC +08:00;Закрыт;+7-3952-78-13-26;1090;rozn930@gloria-jeans.ru;г. Иркутск, ул. Сергеева 3
275;м-н Брянск Ленина;0000931;Центральный регион;00005550003194921;09:00;21:00;2009-10-25 00:00:00.000;UTC +03:00;Закрыт;8(920)601-88-81;1044;rozn931@gloria-jeans.ru;г. Брянск, пр. Ленина 12
276;м-н Калуга ТЦ Торговый Квартал;0000932;Центральный регион;00005550003194922;10:00;22:00;2010-02-14 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1099;rozn932@gloria-jeans.ru;г. Калуга, Московский р-н, ул. Московская 338а
277;м-н Москва ТЦ Вива;0000933;Центральный регион;00005550003194923;10:00;22:00;2010-05-15 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1373;rozn933@gloria-jeans.ru;г. Москва, ул. Полян, 8
278;м-н Миасс Автозаводцев;0000934;Урал;00005550003194924;10:00;20:00;2009-11-08 00:00:00.000;UTC +05:00;Закрыт;8(351) 35-53-535;1357;rozn934@gloria-jeans.ru;г. Миасс, пр. Автозаводцев 23
279;м-н Омск ТЦ Мега;0000935;Сибирь;00005550003194925;10:00;22:00;2010-03-04 00:00:00.000;UTC +06:00;Действует;8-800-500-82-82;1217;rozn935@gloria-jeans.ru;г. Омск, бульвар Архитекторов 35
280;м-н Москва ТЦ Севастопольский;0000936;Центральный регион;00005550003194926;09:00;22:00;2009-12-09 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1378;rozn936@gloria-jeans.ru;г. Москва, Севастопольский пр-т 11E
281;м-н Иркутск ТЦ Ручей;0000937;Сибирь;00005550003194927;09:00;20:00;2009-10-28 00:00:00.000;UTC +08:00;Закрыт;+7-3952-43-20-10;1091;rozn937@gloria-jeans.ru;г. Иркутск, буль. Рябикова 32
282;м-н Прохладный Свободы;0000938;Южный регион;00005550003194928;09:00;19:00;2009-11-26 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1233;rozn938@gloria-jeans.ru;г. Прохладный, ул. Свободы 139а
283;м-н Оренбург ТЦ Армада;0000939;Поволжье;00005550003194929;10:00;22:00;2010-01-19 00:00:00.000;UTC +05:00;Закрыт;+7-937-063-84-73;1221;rozn939@gloria-jeans.ru;г. Оренбург, Шарлыкское шоссе 1
284;м-н Тверь ТЦ Карусель;0000940;Центральный регион;00005550003194930;10:00;22:00;2009-12-11 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1285;rozn940@gloria-jeans.ru;г. Тверь, ул. Коминтерна 20/1
285;м-н Ростов ТЦ Талер;0000941;Южный регион;00005550003194931;10:00;22:00;2010-02-28 00:00:00.000;UTC +03:00;Закрыт;+7-863-204-31-43;1243;rozn941@gloria-jeans.ru;г. Ростов-на-Дону, ул. Зорге 33
286;м-н Улан-Удэ ТЦ Сагаан Морин;0000942;Сибирь;00005550003194932;10:00;20:00;2009-12-08 00:00:00.000;UTC +08:00;Действует;8-800-500-82-82;1421;rozn942@gloria-jeans.ru;г. Улан-Удэ, ул. Гагарина 25
287;м-н Рыбинск ТЦ Космос 0-8;0000943;Центральный регион;00005550003194933;10:00;20:00;2012-09-19 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1245;rozn943@gloria-jeans.ru;г. Рыбинск, ул. М. Горького, д.10
288;м-н Киев ТЦ Европорт;0000944;Украина;00005550003194934;10:00;21:00;2009-12-21 00:00:00.000;UTC +03:00;Закрыт;8-1038044-461-92-05;1317;rozn944@gloria-jeans.ru;г. Киев, ул. Лукашевича 15-А
289;м-н Москва ТЦ Спектр;0000945;Центральный регион;00005550003194935;10:00;22:00;2010-04-12 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1380;rozn945@gloria-jeans.ru;г. Москва, Новоясеневский проспект 1
290;м-н Черкесск Ленина;0000946;Южный регион;00005550003194936;09:00;20:00;2009-12-29 00:00:00.000;UTC +03:00;Закрыт;+7-878-220-02-99;1434;rozn946@gloria-jeans.ru;г. Черкесск, ул. Ленина 62
291;м-н Чита ТЦ Макси;0000947;Сибирь;00005550003194937;10:00;22:00;2010-02-09 00:00:00.000;UTC +09:00;Действует;8-800-500-82-82;1435;rozn947@gloria-jeans.ru;г. Чита, ул. Шилова 100
292;м-н Одесса ТЦ Ривьера;0000948;Украина;00005550003194938;10:00;22:00;2010-02-12 00:00:00.000;UTC +03:00;Действует;+380-48-796-52-80;1211;rozn948@gloria-jeans.ru;Одеська обл., Комінтернівський район, сільська рада Фонтанська, комплекс будівель і споруд, 1
293;м-н Саранск Хмельницкого;0000949;Поволжье;00005550003194939;10:00;20:00;2009-12-10 00:00:00.000;UTC +03:00;Закрыт;+7-8342-27-08-20;1261;rozn949@gloria-jeans.ru;г. Саранск, ул. Богдана Хмельницкого 61
294;м-н Чебоксары ТЦ Мегамолл;0000950;Поволжье;00005550003194940;10:00;21:00;2009-12-12 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1428;rozn950@gloria-jeans.ru;г. Чебоксары, ул. Калинина 105а
295;м-н Волгоград ТЦ Диамант;0000951;Южный регион;00005550003194941;10:00;21:00;2010-01-29 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1055;rozn951@gloria-jeans.ru;г. Волгоград, пл. Дзержинского 1Б
296;м-н Самара ТЦ Вива Лэнд;0000952;Поволжье;00005550003194942;10:00;20:00;2010-02-06 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1259;rozn952@gloria-jeans.ru;г. Самара, Кировский р-н., Проспект Кирова 147
297;м-н Красноярск ТЦ Июнь;0000953;Сибирь;00005550003194943;10:00;22:00;2010-03-07 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1335;rozn953@gloria-jeans.ru;г. Красноярск, ул. Партизана Железняка 23
298;м-н Уфа Октября;0000954;Поволжье;00005550003194944;10:00;20:00;2009-12-28 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1424;rozn954@gloria-jeans.ru;г. Уфа, Октябрьский район, пр-т Октября 65
299;м-н С.-Петербург ТЦ ОК;0000955;Северо-Западный регион;00005550003194945;10:00;22:00;2010-04-29 00:00:00.000;UTC +03:00;Закрыт;+7-812-336-83-99;1254;rozn955@gloria-jeans.ru;г. Санкт-Петербург, пр. Заневский 65/1
300;м-н Братск ТЦ Арена;0000956;Сибирь;00005550003194946;10:00;20:00;2010-03-12 00:00:00.000;UTC +08:00;Закрыт;+7-3953-47-04-49;1043;rozn956@gloria-jeans.ru;г. Братск, Центральный округ, ул. Крупской 56
301;м-н Балаково ТЦ Оранж;0000957;Поволжье;00005550003194947;09:00;21:00;2010-01-06 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1031;rozn957@gloria-jeans.ru;г.Балаково. ул. Волжская 100
302;м-н Пенза ТЦ Ритейл Парк;0000958;Поволжье;00005550003194948;09:00;21:00;2010-02-28 00:00:00.000;UTC +03:00;Подготовка к закрытию;+7-8412-20-34-33;1226;rozn958@gloria-jeans.ru;г. Пенза, ул. Центральная 1
303;м-н Долгопрудный ТЦ Конфитюр;0000959;Центральный регион;00005550003194949;10:00;22:00;2010-02-28 00:00:00.000;UTC +03:00;Закрыт;+7-925-010-69-71;1070;rozn959@gloria-jeans.ru;г. Долгопрудный, Лихачевский проспект 64
304;м-н Нижний Тагил ТЦ Пассаж;0000960;Урал;00005550003194950;10:00;21:00;2010-02-28 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1396;rozn960@gloria-jeans.ru;г. Нижний Тагил, ул. Ленина 22
305;м-н Челябинск ТЦ Фокус;0000961;Урал;00005550003194951;10:00;22:00;2010-03-15 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1431;rozn961@gloria-jeans.ru;г. Челябинск, ул. Молдавская 16
306;м-н Железногорск-Юг Ленина;0000962;Центральный регион;00005550003200195;09:00;21:00;2010-02-26 00:00:00.000;UTC +03:00;Закрыт;+7-473-200-60-27;1084;rozn962@gloria-jeans.ru;г. Железногорск, ул. Ленина 37
307;м-н Белгород ТЦ Сити Молл;0000963;Центральный регион;00005550003200196;10:00;22:00;2010-04-30 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1037;rozn963@gloria-jeans.ru; г.Белгород, с.Дубовое, ул. Щорса, 64
308;м-н Краснодар Красная;0000964;Южный регион;00005550003200197;10:00;22:00;2010-07-23 00:00:00.000;UTC +03:00;Закрыт;8 (861) 259-21-60;1327;rozn964@gloria-jeans.ru;г. Краснодар ул. Красная 67
309;м-н Краснодар 40 лет Победы;0000965;Южный регион;00005550003200198;10:00;21:00;2010-02-28 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1325;rozn965@gloria-jeans.ru;г. Краснодар, Прикубанский округ, ул. Им. 40-летия Победы 146/2
310;м-н Копейск ТЦ Слава;0000966;Урал;00005550003200199;10:00;21:00;2010-06-06 00:00:00.000;UTC +05:00;Закрыт;+7-351-245-37-23;1323;rozn966@gloria-jeans.ru;г. Копейск, пр-т Славы 8
386;м-н Донецк Юзовский;0001153;Украина;00005550003271835;09:00;21:00;2010-07-29 00:00:00.000;UTC +03:00;Закрыт;+380-62-335-25-76;1073;rozn1153@gloria-jeans.ru;г. Донецк, пл. Коммунаров 1
387;м-н Томск ТЦ Манеж;0001154;Сибирь;00005550003271836;10:00;21:00;2010-08-25 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1291;rozn1154@gloria-jeans.ru;г. Томск, ул. Беринга 10
369;м-н Тосно Ленина;0001136;Северо-Западный регион;00005550003271837;10:00;21:00;2010-07-30 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1292;rozn1136@gloria-jeans.ru;Ленинградская область, г. Тосно, пр. Ленина, д. 44
370;м-н Ленинск-Кузнецкий ТЦ Фабрика;0001137;Сибирь;00005550003271838;10:00;21:00;2010-06-28 00:00:00.000;UTC +07:00;Закрыт;8-923-493-40-04;1344;rozn1137@gloria-jeans.ru;г. Ленинск-Кузнецкий, ул. Телефонная 13
388;м-н Уфа ТЦ Простор;0001155;Поволжье;00005550003271839;10:00;21:00;2010-10-24 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1529;rozn1155@gloria-jeans.ru;г. Уфа, ул. Маршала Жукова 29
371;м-н Хабаровск ТЦ Магнит;0001138;Дальний Восток;00005550003271840;10:00;21:00;2010-08-14 00:00:00.000;UTC +10:00;Действует;8-800-500-82-82;1427;rozn1138@gloria-jeans.ru;г. Хабаровск, ул. Ленинградская 28
389;м-н Николаев Советская;0001156;Украина;00005550003271841;10:00;21:00;2010-07-21 00:00:00.000;UTC +03:00;Закрыт;+380-51-258-66-46;1397;rozn1156@gloria-jeans.ru;м. Миколаїв, пр-т. Леніна, 73
372;м-н Пенза ТЦ Сан Март;0001139;Поволжье;00005550003271842;09:00;21:00;2010-10-08 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1052;rozn1139@gloria-jeans.ru;г. Пенза, ул. Плеханова 19
390;м-н Астрахань ТЦ Гранд Ривер;0001157;Южный регион;00005550003271843;09:00;21:00;2010-10-31 00:00:00.000;UTC +03:00;Закрыт;8(8512) 317-013;1444;rozn1157@gloria-jeans.ru;г.Астрахань, ул. Магистральная 29
373;м-н Нижневартовск ТЦ Югра;0001140;Урал;00005550003271844;10:00;22:00;2010-10-29 00:00:00.000;UTC +05:00;Закрыт;+7-3466-49-11-35;1624;rozn1140@gloria-jeans.ru;г. Нижневартовск, Западный пром. узел, Площадка №18, ул. Ленина 15/П
391;м-н Казань ТЦ Тандем;0001158;Поволжье;00005550003271845;10:00;22:00;2010-09-30 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1096;rozn1158@gloria-jeans.ru;г. Казань, пр. Ибрагимова 56
374;м-н Екатеринбург ТЦ Кит;0001141;Урал;00005550003271846;10:00;21:00;2010-09-12 00:00:00.000;UTC +05:00;Закрыт;+7-343-270-22-92;1080;rozn1141@gloria-jeans.ru;г.Екатеринбург, ул.Амундсена 65
392;м-н Ангарск ТЦ Березка;0001159;Сибирь;00005550003271847;10:00;20:00;2010-09-10 00:00:00.000;UTC +08:00;Закрыт;+7-3955-61-71-24;1026;rozn1159@gloria-jeans.ru;г. Ангарск, микр. Байкальск, ул. Коминтерна 7
375;м-н Тамбов ТЦ Плаза;0001142;Центральный регион;00005550003271848;09:00;19:00;2010-06-30 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1282;rozn1142@gloria-jeans.ru;г. Тамбов, ул. Октябрьская 16А / Носовская 10А
393;м-н Курск ТЦ Европа;0001160;Центральный регион;00005550003271849;10:00;21:00;2010-09-29 00:00:00.000;UTC +03:00;Закрыт;+7-4712-39-91-47;1341;rozn1160@gloria-jeans.ru;г. Курск, ул. Карла Маркса 59
376;м-н Луховицы ТЦ Галерея;0001143;Центральный регион;00005550003271850;09:00;20:00;2010-09-30 00:00:00.000;UTC +03:00;Закрыт;8(496) 639-10-89;1350;rozn1143@gloria-jeans.ru;г. Луховицы, ул. Куйбышева 71
394;м-н Нижнекамск ТЦ Барс;0001161;Поволжье;00005550003271851;09:00;21:00;2010-09-25 00:00:00.000;UTC +03:00;Закрыт;+7-8555-36-62-20;1391;rozn1161@gloria-jeans.ru;г.Нижнекамск, ул.Менделеева 31А
395;м-н Димитровград ТЦ Арбат;0001162;Поволжье;00005550003271853;09:00;20:00;2010-09-09 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1067;rozn1162@gloria-jeans.ru;г. Димитровград, ул. Автостроителей 51 В
396;м-н Екатеринбург Ленина;0001163;Урал;00005550003271854;10:00;21:00;2010-11-16 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1212;rozn1163@gloria-jeans.ru;г.Екатеринбург пр. Ленина 53
397;м-н Москва ТЦ Гагаринский (старый);0001164;Центральный регион;00005550003271855;09:00;22:00;2010-10-30 00:00:00.000;UTC +03:00;Закрыт;+7-495-232-41-55;1449;rozn1164@gloria-jeans.ru;г. Москва, ул. Вавилова, владение 3
377;м-н Великие Луки ТЦ Апельсин;0001144;Северо-Западный регион;00005550003271856;10:00;21:00;2010-08-26 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1045;rozn1144@gloria-jeans.ru;г. Великие Луки, ул. Вокзальная 11
378;м-н Мурманск ТЦ Детский Мир;0001145;Северо-Западный регион;00005550003271857;10:00;21:00;2010-08-15 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1383;rozn1145@gloria-jeans.ru;г. Мурманск, Октябрьский округ, пр-т Ленина 48
379;м-н Тимашевск Ленина;0001146;Южный регион;00005550003271858;08:00;19:00;2010-10-20 00:00:00.000;UTC +03:00;Закрыт;+7-86130-4-01-14;1042;rozn1146@gloria-jeans.ru;г. Тимашевск, ул. Ленина 167
380;м-н Березники ТЦ Оранж;0001147;Урал;00005550003271859;10:00;21:00;2010-09-26 00:00:00.000;UTC +05:00;Закрыт;+7-3424-28-39-10;1039;rozn1147@gloria-jeans.ru;г. Березники, ул. Пятилетки 150
381;м-н Заринск ТЦ Мария РА;0001148;Сибирь;00005550003271860;09:00;21:00;2010-10-09 00:00:00.000;UTC +06:00;Закрыт;8 (38595) 55250;1642;rozn1148@gloria-jeans.ru;г. Заринск, пр-т Строителей 16
382;м-н Кемерово Ленина;0001149;Сибирь;00005550003271861;10:00;21:00;2010-10-05 00:00:00.000;UTC +07:00;Подготовка к закрытию;+7-3842-65-70-23;1461;rozn1149@gloria-jeans.ru;г. Кемерово, проспект Ленина 125
383;м-н Ижевск ТЦ Талисман;0001150;Поволжье;00005550003271862;10:00;22:00;2010-06-30 00:00:00.000;UTC +04:00;Закрыт;+7-3412-91-29-48;1089;rozn1150@gloria-jeans.ru;г. Ижевск, ул. Холмогорова 11
384;м-н Новокузнецк ТЦ Комета;0001151;Сибирь;00005550003271863;10:00;22:00;2010-08-13 00:00:00.000;UTC +07:00;Закрыт;+7-3843-20-02-49;1398;rozn1151@gloria-jeans.ru;г. Новокузнецк, ул. Павловского 13
385;м-н Краснодар ТЦ Галактика;0001152;Южный регион;00005550003271864;10:00;22:00;2010-11-03 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1446;rozn1152@gloria-jeans.ru;г. Краснодар, ул. Стасова\Сормовская 178-180\1
398;м-н Воронеж ТЦ Арена;0001165;Центральный регион;00005550003271865;10:00;22:00;2010-11-16 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1452;rozn1165@gloria-jeans.ru;г. Воронеж, бульвар Победы 23б
399;м-н Тула ТЦ Рио;0001166;Центральный регион;00005550003271866;10:00;22:00;2010-11-12 00:00:00.000;UTC +03:00;Подготовка к закрытию;8-800-500-82-82;1450;rozn1166@gloria-jeans.ru;г.Тула, ул. Пролетарская 22а
